name,address,city,state,zip,telephone,type,county,lattitude,longitude,emergency,vaccination,dental,vision,pediatric,preventative
HOUSTON METHODIST SAN JACINTO HOSPITAL ALEXANDER CAMPUS,1700 JAMES BOWIE DRIVE,BAYTOWN,TX,77520,(281) 420-8765,GENERAL ACUTE CARE,HARRIS,29.74762022,-94.94547682,y,y,y,y,y,y
WOODS AT PARKSIDETHE,349 OLDE RIDENOUR ROAD,COLUMBUS,OH,43230,(614) 471-2552,SPECIAL,FRANKLIN,40.0271427,-82.88184334,y,y,y,y,y,y
DAYTON CHILDREN'S HOSPITAL,ONE CHILDRENS PLAZA,DAYTON,OH,45404,(937) 641-3300,CHILDREN,MONTGOMERY,39.77424249,-84.16802733,y,y,y,y,y,n
VIBRA HOSPITAL OF MAHONING VALLEY,8049 SOUTH AVENUE,BOARDMAN,OH,44512,(330) 726-5021,LONG TERM CARE,MAHONING,41.0051693,-80.63297231,n,n,n,n,n,y
HAVEN BEHAVIORAL SENIOR CARE OF DAYTON,ONE ELIZABETH PLACEE3 SUITE A,DAYTON,OH,45417,(615) 393-8879,PSYCHIATRIC,MONTGOMERY,39.74773987,-84.19939762,y,n,n,n,n,y
CHG CORNERSTONE HOSPITAL OF OKLAHOMA,1900 GORDON COOPER DRIVE2ND FLOOR,SHAWNEE,OK,74801,(405) 395-5800,LONG TERM CARE,POTTAWATOMIE,35.29726161,-96.92709569,n,n,n,n,n,y
MARY HURLEY HOSPITAL,6 NORTH COVINGTON AVENUE,COALGATE,OK,74538,(580) 927-2327,GENERAL ACUTE CARE,COAL,34.53934684,-96.2237315,y,y,y,y,y,y
TRINITY HOSPITALS,1 W BURDICK EXPY,MINOT,ND,58701,(701) 857-5000,GENERAL ACUTE CARE,WARD,48.23222596,-101.2940853,y,y,y,y,y,y
LIFEBRITE COMMUNITY HOSPITAL OF STOKES,1570 NC 8 & 89 HWY NORTH,DANBURY,NC,27016,(336) 593-2831,GENERAL ACUTE CARE,STOKES,36.418068,-80.23107621,y,y,y,y,y,y
PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC,16750 RED OAK DR,HOUSTON,TX,77090,(281) 453-7110,GENERAL ACUTE CARE,HARRIS,30.0142879,-95.44068702,y,y,y,y,y,y
MCCALLEN MEDICAL CENTER,301 WEST EXPRESSWAY 83,MCALLEN,TX,78503,(956) 632-4000,GENERAL ACUTE CARE,HIDALGO,26.18699237,-98.22573011,y,y,y,y,y,y
PRAIRIE SAINT JOHN'S,510 4TH STREET SOUTH,FARGO,ND,58103,(701) 476-7200,PSYCHIATRIC,CASS,46.86919521,-96.78500526,y,n,n,n,n,y
FAITH COMMUNITY HOSPITAL,215 CHISHOLM TRAIL,JACKSBORO,TX,76458,(940) 567-6633,GENERAL ACUTE CARE,JACK,33.23066769,-98.16693865,y,y,y,y,y,y
COVENANT MEDICAL CENTER - LAKESIDE,4000 24TH STREET,LUBBOCK,TX,79410,(806) 725-0536,GENERAL ACUTE CARE,LUBBOCK,33.57339136,-101.9019483,y,y,y,y,y,y
WOODLANDS SPECIALTY HOSPITAL PLLC,25440 I 45 NORTH,THE WOODLANDS,TX,77386,(281) 602-8160,GENERAL ACUTE CARE,MONTGOMERY,30.13090069,-95.44302258,y,y,y,y,y,y
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,(361) 902-4690,GENERAL ACUTE CARE,NUECES,27.77809368,-97.39474791,y,y,y,y,y,y
THE CORPUS CHRISTI MEDICAL CENTER - NORTHWEST,13725 NORTHWEST BLVD,CORPUS CHRISTI,TX,78410,(361) 767-4300,GENERAL ACUTE CARE,NUECES,27.85491733,-97.63542317,y,y,y,y,y,y
REAGAN MEMORIAL HOSPITAL,1300 N MAIN AVE,BIG LAKE,TX,76932,(325) 884-2561,GENERAL ACUTE CARE,REAGAN,31.20401254,-101.4610176,y,y,y,y,y,y
BAYLOR EMERGENCY MEDICAL CENTER,1975 ALPHASUITE 100,ROCKWALL,TX,75087,(214) 294-6200,GENERAL ACUTE CARE,ROCKWALL,32.9140952,-96.44469769,y,y,y,y,y,y
BAYLOR EMERGENCY MEDICAL CENTER,620 SOUTH MAINSUITE 100,KELLER,TX,76248,(214) 294-6100,GENERAL ACUTE CARE,TARRANT,32.92816374,-97.2547307,y,y,y,y,y,y
BAYLOR EMERGENCY MEDICAL CENTER,12500 SOUTH FREEWAYSUITE 100,BURLESON,TX,76028,(214) 294-6250,GENERAL ACUTE CARE,TARRANT,32.57542408,-97.32118572,y,y,y,y,y,y
BAYLOR EMERGENCY MEDICAL CENTER,1776 NORTH US 287SUITE 100,MANSFIELD,TX,76063,(214) 294-6300,GENERAL ACUTE CARE,TARRANT,32.59672241,-97.14487705,y,y,y,y,y,y
TRINITY HOSPITAL - SAINT JOSEPHS,407 3RD STREET SOUTHEAST,MINOT,ND,58701,(701) 857-5000,GENERAL ACUTE CARE,WARD,48.23216459,-101.2872043,y,y,y,y,y,y
BAYLOR EMERGENCY MEDICAL CENTER,5500 COLLEYVILLE BOULEVARD,COLLEYVILLE,TX,76034,(214) 294-6350,GENERAL ACUTE CARE,TARRANT,32.88879527,-97.1511153,y,y,y,y,y,y
MEDICAL CENTER OF ALLIANCE,3101 NORTH TARRANT PARKWAY,FORT WORTH,TX,76177,(817) 639-1100,GENERAL ACUTE CARE,TARRANT,32.90029252,-97.31392872,y,y,y,y,y,y
